tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,3a8-r3lNjI6qz7qpyH7tsYPj6RlOx1oWPkoyUBkeSDoD0h0,hearer,690,113,73,False,False,False,False
CHALLENGER,0Pq77OXcqO9IAWH1Aiv-0zGl84YjeLy3oP6OBivBKM6NesY,깡충깡충껑충껑충,665,238,179,False,False,True,False
CHALLENGER,g3UdeocGMQrOdf8r7EIHXjQ-jo4vrqeIVYrdQvHJYYJt_mI,FPXzhaoJG4506303,704,563,461,False,False,False,False
CHALLENGER,QC0ptM-NIP8ju4WAf_L-Poyfj0rnEY4maEwAsatEIKtSc_U,부자되자부자되자,941,276,214,False,False,False,True
CHALLENGER,8pPf1RnZZaIe6lRiBKY9W0PBJjlgeKyyh2yorS5r9IWa2g,소나잔나,1365,192,120,True,False,False,True
CHALLENGER,3X4POB0dqg3KiICiqZhVuSBUhjHyWWSV6XPRQojEkXbZ3C4,SANDBOX Lonely,966,336,285,True,False,False,False
CHALLENGER,VnzOuCh3Jmf_BU0jjRYBnpsshcLOTocl9lmFKpyr2xAFDlU,교육잘받은도구,735,350,299,False,False,False,False
CHALLENGER,XbVRywgjDtgdgTs3I-QyjwPMQ3hgQT7JkPdjYnOOnQRxEHM,Destiny,1170,188,178,True,False,False,False
CHALLENGER,Qx6aCNYusPPamj9NCXhpjgQITTrstPCcJiIjs1wzkHyDEVU,wuwuwu bieshawo,792,421,351,False,False,False,False
CHALLENGER,fzRmNx2PEvimyKvA0EJHosOLXGtzsLSuju37YcadmIZ5wsg,Yunqi,799,261,211,False,False,False,False
CHALLENGER,crpuUxYlmWLYoVsII8gYypwq4DT_84Lzr_S55oPjILiYMCA,Morgan Burdol,670,656,612,False,False,True,False
CHALLENGER,yMBULSqx0qGbd71xiW1vsdUD1h_STuI9_0Z1taAHOaQrLJk,우붕스1,806,253,209,True,False,False,False
CHALLENGER,IHRgiXz03ZBlCkzCq-hJN9h3mOpr8z-4d_-RSAR0ym9rf30,Khae1,910,462,363,True,False,False,True
CHALLENGER,ooRieX6Cr7QNH3_IuN3TqcyPjEosn96m6aEYji9IGVd9vKc,Gen G Karis,801,455,447,False,False,False,False
CHALLENGER,GfRva-YHUe9ZNJJhE7nib_dIpheQpSGMm_rgDmMiHqdU-i8,EZ 4 ENCE ENCE,1009,766,726,False,False,False,False
CHALLENGER,-Nt1jSbIVq_-sTdoWw7deWl32WRod2uhbicm123LH-rhuZU,xbfzcgbbmls,931,542,492,False,False,True,False
CHALLENGER,PBZNnpqInjxxERoCOh4j4LhNh3OZ3cUzM1PSFUCew_btFZw,갱장헤 엄청나,800,283,227,False,False,True,True
CHALLENGER,FY-AtgqRPeV5NBBad6mD3-pTV6KkAasbvPj1AeSGFTp06A,Azhy,662,421,390,False,False,True,True
