,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
167,CHALLENGER,jwN-dZ_ByJa_tpbsKwUeVU1tFm3A6cgEWz84N9EwF9T-KHA,corgii,834,515,424,True,False,False,False
168,CHALLENGER,f4NNTTcTvNIu2-u4QafXu7CN6mZsRrTRB9X1-iujtlHDnJI,DWG ShowMaker,1488,301,220,True,False,False,False
169,CHALLENGER,KlolvPQNJaxcGo-15r1_SqgihsMNpHgeJuelDSWDA-fWzeI,KkOma21,666,203,166,False,False,True,False
170,CHALLENGER,NhpRgDA8O98hL-8QXunpmGwf7VRnzdzApfAOIn0TowR1bGE,deokdam,1090,173,106,True,False,False,False
171,CHALLENGER,zzqp9uvC0iw0SVqq4lLpANJ-cWqCCautO7A8slte9kI3g7A,d0 myself ,799,826,775,False,False,True,False
172,CHALLENGER,WXBfhSq1wib3sHpJPUZ4-d82he4MqetuBW5aCHykdfL-vVo,AdadeHuanggou,804,571,459,False,False,False,False
173,CHALLENGER,1xZ5UrCs_b6_Xn7qZMkEWirD_uh7PJC6DogX-2kn3iM_s2k,KzcXaz,1236,363,287,True,False,False,False
174,CHALLENGER,L7l6Y-mbFCGBgXv0wA8t7cglbVRRx_lE9La31LcymcOyttI,Twitch TV 리하우,658,281,240,False,False,True,False
175,CHALLENGER,HEqLy_VmWIlrzb42SjcuxkYnesUvMGrCrQB6uYCsA7BLDbw,연패 후 연승,677,433,347,False,False,False,False
176,CHALLENGER,JWFH6G2O5hRSknANvVOe3aasABnCToYVpwexWvDfvIIBbw,미쳐놈,1101,624,556,True,False,False,True
